Date,AAPL,JPM,PFE,TSLA,CVX,DAL
25/10/2011,12.23659,25.719292,12.657404,5.65,71.309845,7.496805
26/10/2011,12.32365,26.249193,12.932421,5.596,72.858894,7.603393
27/10/2011,12.449469,28.430225,13.308053,5.752,74.360161,7.674452
28/10/2011,12.457469,28.176794,13.294632,5.974,74.81736,7.55898
31/10/2011,12.452241,26.694613,12.919009,5.874,71.685188,7.567861
01/11/2011,12.197826,25.120275,12.965958,5.776,69.65847,7.399095
02/11/2011,12.225516,25.83449,13.100114,5.742,71.337166,7.328036
03/11/2011,12.399633,26.402781,13.334884,6.492,72.42215,7.372448
04/11/2011,12.312578,26.087914,13.187312,6.462,72.626907,7.41686
07/11/2011,12.296884,26.295269,13.462329,6.254,73.507179,7.381331
08/11/2011,12.496847,26.894283,13.604607,6.368,74.285095,7.283624
09/11/2011,12.159989,24.989723,13.103245,6.176,71.159744,7.105974
10/11/2011,11.850516,25.143318,13.408126,6.266,71.992256,6.768441
11/11/2011,11.832057,25.558012,13.54363,6.728,73.049942,7.061562
14/11/2011,11.667166,24.997396,13.408126,6.644,72.449448,7.15927
15/11/2011,11.961568,25.112593,13.462325,6.786,70.470497,7.105974
16/11/2011,11.836673,24.167992,13.25907,6.988,69.500748,6.73291
17/11/2011,11.610253,23.415379,13.191322,6.736,68.833603,6.466437
18/11/2011,11.534269,23.515219,13.23197,6.52,67.320473,6.537497
21/11/2011,11.351848,22.969959,12.845786,6.352,65.793587,6.404258
22/11/2011,11.582571,22.585976,12.805138,6.414,66.316284,6.466437
23/11/2011,11.289704,21.794964,12.500251,6.29,64.479919,6.324316
25/11/2011,11.184498,21.871763,12.500251,6.332,63.47575,6.324316
28/11/2011,11.570572,22.393982,12.933861,6.512,65.869225,6.599674
29/11/2011,11.480746,21.933203,13.143896,6.35,66.983459,6.928326
30/11/2011,11.757608,23.78401,13.597836,6.548,70.718109,7.212564
01/12/2011,11.933886,23.39234,13.57073,6.52,70.037209,7.567861
02/12/2011,11.988333,24.828445,13.475878,6.66,69.940933,7.470155
05/12/2011,12.090158,25.734648,13.442003,6.884,70.718109,7.647804
06/12/2011,12.026789,25.519619,13.706234,6.974,71.777298,7.523451
07/12/2011,11.969569,26.110956,13.868839,6.838,71.88736,7.603393
08/12/2011,12.017867,24.743977,13.679133,6.178,70.326088,7.26586
09/12/2011,12.108925,25.481218,13.929818,6.208,71.701645,7.550098
12/12/2011,12.054166,24.605738,13.814634,6.082,70.890068,7.550098
13/12/2011,11.960955,24.029762,14.065325,5.89,71.268333,7.097091
14/12/2011,11.695778,24.198711,14.133073,5.706,69.143112,7.239211
15/12/2011,11.657325,24.390701,14.322782,5.724,68.551605,7.630039
16/12/2011,11.72131,24.49054,14.248252,5.6,69.370064,8.011985
19/12/2011,11.757918,23.576656,14.322782,5.55,68.585983,7.55898
20/12/2011,12.180599,24.736288,14.539586,5.58,71.30275,7.665568
21/12/2011,12.195984,24.820763,14.68864,5.514,72.513252,7.523451
22/12/2011,12.260582,25.688568,14.654762,5.554,73.118484,7.425743
23/12/2011,12.407633,25.780727,14.790263,5.58,73.936981,7.399095
27/12/2011,12.506072,25.366026,14.74961,5.714,74.267105,7.26586
28/12/2011,12.386407,25.074194,14.58701,5.702,72.877777,7.212564
29/12/2011,12.462699,25.665531,14.708963,5.746,73.916336,7.185916
30/12/2011,12.459009,25.534979,14.661542,5.712,73.180405,7.185916
03/01/2012,12.650659,26.863564,14.88512,5.616,75.910919,7.141504
04/01/2012,12.718646,27.033739,14.74961,5.542,75.780243,7.114857
05/01/2012,12.85985,27.598391,14.634439,5.424,75.037437,7.399095
06/01/2012,12.994284,27.350857,14.614108,5.382,74.494064,7.390213
09/01/2012,12.973674,27.304457,14.783491,5.45,75.305672,7.354685
10/01/2012,13.020121,27.884573,14.864797,5.524,75.009911,7.345801
11/01/2012,12.998899,28.356411,14.837694,5.646,74.122665,7.647804
12/01/2012,12.963211,28.503386,14.898669,5.65,72.196869,7.878747
13/01/2012,12.914607,27.784023,14.797047,4.558,72.967178,7.860982
17/01/2012,13.065036,27.002787,14.864797,5.32,73.40049,7.754393
18/01/2012,13.200701,28.263597,14.88512,5.362,73.476128,7.923159
19/01/2012,13.158866,28.565256,14.797047,5.352,73.544914,8.287343
20/01/2012,12.92968,28.897858,14.837694,5.32,73.517426,8.358404
23/01/2012,13.148404,29.129908,14.708963,5.354,73.599953,8.251813
24/01/2012,12.933064,29.129908,14.675093,5.484,73.40049,8.331756
25/01/2012,13.740594,29.083508,14.71574,5.594,74.095154,8.846938
26/01/2012,13.678146,28.998421,14.654762,5.788,73.311081,9.03347
27/01/2012,13.759666,28.781841,14.553134,5.866,71.502205,9.228883
30/01/2012,13.93594,28.627144,14.620888,5.914,71.123924,9.566418
31/01/2012,14.042683,28.851463,14.498935,5.814,70.924469,9.371002
01/02/2012,14.033762,29.083508,14.587925,5.916,70.697487,9.681891
02/02/2012,14.000848,29.044821,14.451022,6.05,71.316498,9.859541
03/02/2012,14.141126,29.609468,14.512625,6.23,72.561409,10.037188
06/02/2012,14.273102,29.501192,14.341484,6.36,73.366096,9.761831
07/02/2012,14.422609,29.292337,14.409942,6.32,73.476128,9.744068
08/02/2012,14.664097,29.624941,14.382561,6.386,73.428009,9.761831
09/02/2012,15.17138,29.284607,14.471554,6.516,73.159767,9.877302
10/02/2012,15.17907,29.091242,14.409942,6.22,72.410072,9.673007
13/02/2012,15.461476,29.624941,14.581081,6.298,73.166641,9.90395
14/02/2012,15.672507,29.331017,14.601615,6.634,73.242294,9.717422
15/02/2012,15.309814,28.928797,14.451022,6.72,72.771027,9.619711
16/02/2012,15.449476,29.392899,14.601615,6.836,73.824478,9.708539
17/02/2012,15.446707,29.756439,14.505781,6.994,73.921478,9.619711
21/02/2012,15.838323,29.748703,14.526313,6.9,75.134338,8.92688
22/02/2012,15.78264,29.447042,14.622155,6.844,74.50367,8.82029
23/02/2012,15.885691,29.771917,14.39625,6.906,75.092773,8.60711
24/02/2012,16.070887,29.609468,14.498937,6.75,75.598686,8.464989
27/02/2012,16.173943,30.212814,14.553699,6.724,75.979881,8.580463
28/02/2012,16.470814,30.328842,14.526313,6.762,75.966019,8.793643
29/02/2012,16.687073,30.352039,14.464708,6.682,75.626427,8.713701
01/03/2012,16.749516,31.226088,14.711146,6.882,76.069962,8.562699
02/03/2012,16.771362,31.427208,14.65638,6.808,75.966019,8.67817
05/03/2012,16.40159,31.249298,14.71799,6.754,75.76503,8.589346
06/03/2012,16.31238,30.413921,14.560545,6.622,75.439278,8.31399
07/03/2012,16.325609,30.901226,14.628999,6.624,75.862061,8.322872
08/03/2012,16.673222,31.280228,14.69061,6.614,76.257095,8.411697
09/03/2012,16.771057,31.736591,14.704306,6.948,75.938286,8.322872
12/03/2012,16.981161,31.357573,14.745378,7.202,76.23629,8.16299
13/03/2012,17.476456,33.56205,15.067114,7.218,77.061058,8.26958
14/03/2012,18.137236,33.709023,15.012356,7.058,76.714516,8.260697
15/03/2012,18.013569,34.575333,14.99866,7,76.257095,8.553817
16/03/2012,18.013882,34.474777,15.019197,7.064,76.430367,8.180753
19/03/2012,18.491631,34.807392,14.978122,6.996,76.721451,8.26958
20/03/2012,18.64114,35.101311,14.923359,6.992,75.598686,8.464989
21/03/2012,18.534697,34.9002,14.902822,7.03,74.787804,8.651523
22/03/2012,18.437487,34.536659,14.87544,6.88,73.013588,8.464989
23/03/2012,18.336275,34.931133,14.937051,6.816,73.713593,8.544935
26/03/2012,18.67252,35.712383,15.169806,7.48,74.739304,8.775877
27/03/2012,18.90324,35.4958,15.40255,7.588,74.184853,8.713701
28/03/2012,18.999834,35.789726,15.340939,7.57,73.387833,8.882467
29/03/2012,18.761106,35.325615,15.347788,7.466,74.053192,8.944644
30/03/2012,18.443945,35.565411,15.505238,7.448,74.302689,8.81141
02/04/2012,19.030903,35.681435,15.464164,7.316,75.058105,8.89135
03/04/2012,19.359755,35.362228,15.429932,7.602,74.25415,9.166706
04/04/2012,19.205635,34.575878,15.327248,7,73.186859,9.308827
05/04/2012,19.493883,34.521374,15.29302,6.896,72.597771,9.211119
09/04/2012,19.572329,34.171036,15.094501,6.63,71.724503,9.140059
10/04/2012,19.332685,33.446964,15.053427,6.492,70.310661,8.713701
11/04/2012,19.263783,34.264454,15.026047,6.618,69.964134,8.802524
12/04/2012,19.158264,34.910656,15.005509,6.688,71.100754,9.113413
13/04/2012,18.618679,33.641594,14.957584,6.718,69.846321,8.99794
16/04/2012,17.846533,33.735046,15.046577,6.45,70.352234,9.10453
17/04/2012,18.756189,34.178818,15.272484,6.448,71.814583,9.273294
18/04/2012,18.714354,33.703896,15.368319,6.532,71.65519,9.35324
19/04/2012,18.071405,33.649395,15.29302,6.632,71.045303,9.610831
20/04/2012,17.626574,33.260113,15.443623,6.632,71.052231,9.548656
23/04/2012,17.587194,33.36132,15.3204,6.388,70.99678,9.228883
24/04/2012,17.23588,33.696098,15.491549,6.364,71.405693,9.308827
25/04/2012,18.765415,33.60268,15.662685,6.582,71.973999,9.308827
26/04/2012,18.694662,34.100956,15.785899,6.698,73.616554,9.237766
27/04/2012,18.550079,33.742817,15.799598,6.668,73.602692,9.610831
30/04/2012,17.964962,33.462532,15.676373,6.626,73.852173,9.735186
01/05/2012,17.908056,34.093174,15.594225,6.756,75.037323,9.815126
02/05/2012,18.026491,33.633816,15.512078,6.788,74.17791,9.655243
03/05/2012,17.898514,33.485893,15.471007,6.492,73.457146,9.735186
04/05/2012,17.388777,32.504913,15.3204,6.366,71.883919,9.770715
07/05/2012,17.518904,32.528259,15.368319,6.494,71.599754,9.921717
08/05/2012,17.478909,32.216831,15.347788,6.038,71.274017,9.921717
09/05/2012,17.509672,31.640707,15.52062,6.012,70.539368,9.690772
10/05/2012,17.550896,31.718569,15.78333,6.592,71.634407,9.797361
11/05/2012,17.433689,28.775593,15.658888,6.45,71.170067,10.099366
14/05/2012,17.172514,27.864683,15.61741,6.012,70.650269,10.15266
15/05/2012,17.01716,28.215038,15.416919,5.886,69.929497,9.921717
16/05/2012,16.799047,27.607763,15.651975,5.836,69.99942,10.117131
17/05/2012,16.308073,26.416561,15.596668,5.714,70.027405,9.246645
18/05/2012,16.316067,26.073999,15.60358,5.512,68.852585,9.006824
21/05/2012,17.266645,25.311007,15.582834,5.754,69.7127,9.397652
22/05/2012,17.134058,26.478855,15.465321,6.16,69.453957,9.362123
23/05/2012,17.552126,26.673487,15.271736,6.204,69.230194,9.539772
