AAPL,JPM,PFE,TSLA,CVX,DAL,Portfolio Ret,,,,,,,,,,
0.004867724,0.012040892,-0.003392581,0.029260186,0.015285087,-0.003266515,0.010677668,,,,,,,,,,
0.022359832,0.021637288,0.007255537,-0.003783324,0.012081922,0.013001191,0.011478719,,,,,,,,,,
0.017814928,-0.013316177,0.001444579,0.004126553,0.009846917,-0.018468754,0.009878261,,,,,,,,,,
0.006645708,-0.011520925,0,-0.006196233,-0.000380664,0.001095833,0.001394025,,,,,,,,,,
0.015346762,0.018564423,-0.026824686,0.026241069,0.014267563,0.030207487,0.011500396,,,,,,,,,,
0.007002477,-0.014136605,-0.003465901,-0.031434088,-0.006588763,-0.006396632,-0.006924364,,,,,,,,,,
-0.016000905,-0.032683369,-0.005970033,-0.016095519,-0.014075728,-0.038151587,-0.014755315,,,,,,,,,,
-0.000706763,-0.001014914,-0.001998008,-0.006369448,-0.000191396,-0.044300733,-0.00362902,,,,,,,,,,
0.011998589,0.005821845,-0.000500221,0.01654676,0.006683011,0.01039881,0.011119646,,,,,,,,,,
-0.000698734,0.018257599,-0.004009965,-0.036626316,-0.004004761,-0.022081098,-0.012708902,,,,,,,,,,
0.01978789,-0.009212061,-0.0080688,-0.001087154,0.014417519,-0.011820512,0.007717677,,,,,,,,,,
0.024042544,-0.003758794,-0.005585108,-0.012771566,0.000376589,-0.042507728,0.006018886,,,,,,,,,,
0.008126587,0.013961699,0.015159691,0.023948895,0.011698501,0.024510979,0.014580536,,,,,,,,,,
0.026318779,0.014013856,-0.002008265,0.028280428,-0.003542128,-0.014634321,0.020955655,,,,,,,,,,
0.001007709,0.03195475,0.010000185,0.000348493,0.021522382,0.003678535,0.002506564,,,,,,,,,,
0.015398952,-0.002367649,-0.001493412,0.020349038,-0.004212419,-0.008604809,0.013350913,,,,,,,,,,
0.013134695,-0.011921873,-0.013039295,-0.027693012,-0.008015948,-0.030077422,-0.004981299,,,,,,,,,,
0.012245978,-0.006015011,-0.009128143,-0.017348638,-0.004914847,0.020151887,-0.00044721,,,,,,,,,,
-0.027187399,-0.018755615,-0.016953821,-0.012940511,-0.018199375,-0.052475217,-0.021561568,,,,,,,,,,
-0.001963633,0.000245765,0.003103799,0.018993583,-0.00569684,0.002624683,0.005443651,,,,,,,,,,
-0.003425933,-0.005669583,-0.005697704,0,-0.009662424,0.033508118,-0.001971437,,,,,,,,,,
0.015929784,-0.000247357,-0.012546331,0.021075596,0.012989594,-0.011472227,0.011806771,,,,,,,,,,
-0.019958342,-0.014948132,-0.046845578,-0.050982346,-0.018484171,-0.048597972,-0.034845662,,,,,,,,,,
0.009366869,0.001504724,0.005004166,-0.005133858,-0.006692696,0.016021463,0.00429786,,,,,,,,,,
-0.039488874,-0.050897675,-0.037868156,-0.094391484,-0.059335994,-0.072784071,-0.056719761,,,,,,,,,,
-0.009986887,-0.008474464,0.007460414,-0.020821328,0.007920013,-0.007147938,-0.010125981,,,,,,,,,,
-0.056176058,-0.098880326,-0.048618563,-0.025063969,-0.078396509,-0.051519783,-0.045281373,,,,,,,,,,
0.057219567,0.066444958,0.054888129,0.058332757,0.034307804,0.067178282,0.057376574,,,,,,,,,,
-0.027980502,-0.057384545,-0.031748458,-0.050747386,-0.030768492,-0.058156139,-0.036309839,,,,,,,,,,
0.027151088,0.065320343,0.043609786,0.060278832,0.037916188,0.042497641,0.04058801,,,,,,,,,,
0.008765568,-0.021488537,0.002803525,0.039144699,0.018849629,0,0.016750042,,,,,,,,,,
0.016886136,0.026653664,0.026520729,-0.003045301,0.033240776,0.048994885,0.013234906,,,,,,,,,,
-0.007671339,-0.023317371,-0.00163694,-0.00496848,-0.009734278,0.045401526,-0.004620567,,,,,,,,,,
-0.000105006,0.014876387,0.009782656,-0.010398707,0.003281094,0.018112107,-0.001067303,,,,,,,,,,
-0.038558602,-0.038466875,-0.04310071,-0.062707704,-0.046520021,-0.053996115,-0.0470838,,,,,,,,,,
-0.027755116,-0.024159516,-0.002260934,-0.084242225,0.000536271,-0.024659029,-0.040397552,,,,,,,,,,
0.001151216,-0.027746882,0.000565797,-0.015819539,0.000107141,0.001386241,-0.004169258,,,,,,,,,,
0.047019627,0.040187136,0.031182883,0.044986432,0.042287374,0.005524896,0.042654738,,,,,,,,,,
0.00688209,0.029743197,0.008189704,0.038868869,0.002667632,-0.001378443,0.016732459,,,,,,,,,,
-0.006560991,-0.003074942,-0.023659603,-0.032357016,-0.016843463,-0.05967669,-0.018651548,,,,,,,,,,
0.026041099,0.013624667,0.013823814,0.026474646,0.009231753,0.041582801,0.024325741,,,,,,,,,,
0.016521911,0.038732335,0.036132022,0.04046795,0.019327188,0.051995487,0.028138706,,,,,,,,,,
5.13464E-05,-0.015529251,0,-0.003242808,-0.003449388,0.014560277,-0.000664102,,,,,,,,,,
-0.013319421,0.013401292,0.0052828,0.004456155,0.004460819,-0.010568317,-0.004483204,,,,,,,,,,
-0.009923709,-0.034121926,-0.003695083,-0.030367537,-0.003242287,-0.014716115,-0.015196958,,,,,,,,,,
-0.018488323,-0.047097174,-0.02408442,-0.039520758,-0.021649715,-0.020422612,-0.025988762,,,,,,,,,,
0.015097382,-0.034967921,0.010239592,-0.00565096,-0.008332409,-0.019444971,0.007067059,,,,,,,,,,
0.010973358,0.040439009,0.019119035,0.03848273,0.037767335,0.046583926,0.021650499,,,,,,,,,,
0.000546721,-0.038347964,-0.010044861,-0.009694491,-0.008902509,-0.021652108,-0.005007722,,,,,,,,,,
-0.017489615,-0.043610834,-0.029112723,-0.027481334,-0.033267253,-0.017943881,-0.022654625,,,,,,,,,,
0.00649585,0.010542728,-0.001642318,-0.00392585,0.007535286,0.02747451,0.002332599,,,,,,,,,,
0.012242425,0.002156479,0.004373941,0.051118454,0.000208525,0.079416896,0.024185856,,,,,,,,,,
0.012094359,0.009496286,0.004354893,0.010739467,0.014282837,0.048849939,0.011110997,,,,,,,,,,
0.00935753,0.030328198,0.004336172,0.019528692,0.019840948,0.008308616,0.011574808,,,,,,,,,,
0.019006035,-0.01130312,-0.018559372,0.038724712,0.003720805,-0.007117627,0.017725957,,,,,,,,,,
0.027411046,-0.028521363,-0.00497141,-0.001163467,-0.009277171,-0.010771934,0.012003052,,,,,,,,,,
0.004411888,-0.007414174,0.009917818,0.009270055,-0.009363939,0.007194301,0.006921663,,,,,,,,,,
-0.003173293,-0.061050957,-0.022173897,-0.006170479,-0.036659431,-0.045212437,-0.008474828,,,,,,,,,,
-0.025359029,-0.035903528,-0.019814002,-0.008547061,-0.044466257,-0.053928396,-0.019881624,,,,,,,,,,
0.006153014,0.010872885,-0.002289406,0.028842607,-0.001775602,0.074955771,0.013105738,,,,,,,,,,
-0.002799015,0.067302026,0.018171991,-0.033143689,0.016308692,0.015786595,-0.007832348,,,,,,,,,,
-0.009745699,-0.002531327,-0.001126347,0.0259152,0.022159494,-0.01946513,0.00247556,,,,,,,,,,
-0.005651144,-0.035464473,-0.010761924,-0.063037802,-0.01943063,-0.003692533,-0.024084784,,,,,,,,,,
-0.016354209,0.029746967,0.023636868,-0.019298484,0.028476435,-0.019925872,-0.010153689,,,,,,,,,,
-0.023968243,-0.041300299,-0.016826167,0.01113184,-0.019254025,-0.0582689,-0.012756143,,,,,,,,,,
-0.017780019,-0.050035654,-0.019995376,-0.027433142,-0.02970554,-0.120286203,-0.023428156,,,,,,,,,,
-0.005621903,0.063437479,0.0148913,-0.002954212,0.017644941,0.091886856,0.001087513,,,,,,,,,,
0.015318302,0.018985917,0.021930242,0.069781515,0.03417119,0.019022227,0.033216878,,,,,,,,,,
-0.002329436,0.048728289,0.013808213,0.060786912,-0.000528802,0.046030423,0.02095575,,,,,,,,,,
-0.020263492,-0.05327828,0.011453514,0.001112141,-0.002221639,0.002567549,-0.007628503,,,,,,,,,,
